,Age,Bats/Throws,Height/Weight,Birthdate,Name,POS,pid
203,Age: 45,Bats/Throws: L/R,"6' 5"" / 220","8/4/1973 (45 y, 9 m, 17 d)",Bob Howry,P,237.0
204,Age: 40,Bats/Throws: R/R,"6' 2"" / 190","11/18/1978 (40 y, 6 m, 3 d)",Tim Hummel,3B,238.0
205,Age: 43,Bats/Throws: L/R,"6' 0"" / 200","9/12/1975 (43 y, 8 m, 9 d)",Mark Johnson,C,240.0
206,Age: 43,Bats/Throws: R/R,"6' 2"" / 220","3/5/1976 (43 y, 2 m, 16 d)",Paul Konerko,1B,242.0
207,Age: 42,Bats/Throws: R/R,"6' 2"" / 270","6/20/1976 (42 y, 11 m, 1 d)",Carlos Lee,OF,243.0
208,Age: 44,Bats/Throws: L/R,"6' 3"" / 210","8/17/1974 (44 y, 9 m, 4 d)",Jeff Liefer,1B/OF,245.0
209,Age: 51,Bats/Throws: L/L,"5' 11"" / 190","5/31/1967 (51 y, 11 m, 21 d)",Kenny Lofton,OF,246.0
210,Age: 44,Bats/Throws: L/L,"6' 2"" / 213","2/14/1975 (44 y, 3 m, 7 d)",Damaso Marte,P,247.0
211,Age: 45,Bats/Throws: R/R,"6' 0"" / 215","1/28/1974 (45 y, 3 m, 23 d)",Magglio Ordonez,OF,248.0
212,Age: 46,Bats/Throws: R/R,"5' 10"" / 225","4/12/1973 (46 y, 1 m, 9 d)",Antonio Osuna,P,249.0
213,Age: 43,Bats/Throws: L/L,"5' 11"" / 170","2/8/1976 (43 y, 3 m, 13 d)",Jim Parque,P,250.0
214,Age: 44,Bats/Throws: R/R,"6' 1"" / 210","5/19/1975 (44 y, 2 d)",Josh Paul,C,251.0
215,Age: 46,Bats/Throws: L/L,"6' 3"" / 190","8/20/1972 (46 y, 9 m, 1 d)",Mike Porzio,P,252.0
216,Age: 47,Bats/Throws: R/R,"6' 3"" / 205","11/7/1971 (47 y, 6 m, 14 d)",Todd Ritchie,P,253.0
217,Age: 41,Bats/Throws: R/R,"6' 0"" / 213","8/29/1977 (41 y, 8 m, 22 d)",Aaron Rowand,OF,254.0
218,Age: 50,Bats/Throws: R/R,"6' 5"" / 275","5/27/1968 (50 y, 11 m, 24 d)",Frank Thomas,1B/DH,255.0
219,Age: 49,Bats/Throws: B/R,"5' 10"" / 190","10/12/1969 (49 y, 7 m, 9 d)",Jose Valentin,SS,256.0
220,Age: 41,Bats/Throws: R/R,"6' 5"" / 225","12/14/1977 (41 y, 5 m, 7 d)",Dan Wright,P,258.0
221,Age: 46,Bats/Throws: L/L,"6' 5"" / 225","7/12/1972 (46 y, 10 m, 9 d)",Kelly Wunsch,P,259.0
222,Age: 47,Bats/Throws: R/R,"6' 5"" / 250","4/16/1972 (47 y, 1 m, 5 d)",Antonio Alfonseca,P,260.0
223,Age: 52,Bats/Throws: R/R,"6' 3"" / 229","7/3/1966 (52 y, 10 m, 18 d)",Moises Alou,OF,261.0
224,Age: 36,Bats/Throws: R/R,"6' 2"" / 215","9/26/1982 (36 y, 7 m, 25 d)",Daniel McCutchen,P,263.0
225,Age: 44,Bats/Throws: B/R,"6' 1"" / 205","8/23/1974 (44 y, 8 m, 28 d)",Mark Bellhorn,2B/3B,264.0
226,Age: 47,Bats/Throws: R/R,"6' 5"" / 240","1/21/1972 (47 y, 4 m)",Alan Benes,P,265.0
227,Age: 47,Bats/Throws: R/R,"6' 3"" / 230","5/26/1971 (47 y, 11 m, 25 d)",Jason Bere,P,266.0
228,Age: 48,Bats/Throws: R/R,"6' 2"" / 215","5/4/1971 (48 y, 17 d)",Joe Borowski,P,267.0
229,Age: 43,Bats/Throws: L/R,"5' 10"" / 205","8/3/1975 (43 y, 9 m, 18 d)",Roosevelt Brown,OF,268.0
230,Age: 41,Bats/Throws: R/R,"6' 3"" / 205","8/14/1977 (41 y, 9 m, 7 d)",Scott Chiasson,P,269.0
231,Age: 40,Bats/Throws: L/L,"6' 5"" / 240","3/16/1979 (40 y, 2 m, 5 d)",Hee Seop Choi,1B,270.0
232,Age: 44,Bats/Throws: R/R,"6' 3"" / 210","8/12/1974 (44 y, 9 m, 9 d)",Matt Clement,P,271.0
233,Age: 40,Bats/Throws: R/R,"6' 2"" / 170","10/15/1978 (40 y, 7 m, 6 d)",Juan Cruz,P,273.0
234,Age: 45,Bats/Throws: R/R,"6' 1"" / 200","4/24/1974 (45 y, 27 d)",Will Cunnane,P,274.0
235,Age: 50,Bats/Throws: L/R,"6' 1"" / 180","1/15/1969 (50 y, 4 m, 6 d)",Delino DeShields,2B,275.0
236,Age: 44,Bats/Throws: L/R,"6' 0"" / 190","10/9/1974 (44 y, 7 m, 12 d)",Courtney Duncan,P,276.0
237,Age: 44,Bats/Throws: R/R,"6' 0"" / 205","2/20/1975 (44 y, 3 m, 1 d)",Leo Estrella,P,277.0
238,Age: 43,Bats/Throws: R/R,"6' 4"" / 230","4/14/1976 (43 y, 1 m, 7 d)",Kyle Farnsworth,P,278.0
239,Age: 56,Bats/Throws: L/L,"6' 1"" / 215","1/5/1963 (56 y, 4 m, 16 d)",Jeff Fassero,P,279.0
240,Age: 54,Bats/Throws: R/R,"5' 11"" / 200","10/14/1964 (54 y, 7 m, 7 d)",Joe Girardi,C,280.0
241,Age: 46,Bats/Throws: R/R,"6' 0"" / 200","4/8/1973 (46 y, 1 m, 13 d)",Alex Gonzalez,SS,281.0
242,Age: 51,Bats/Throws: R/R,"5' 10"" / 200","11/18/1967 (51 y, 6 m, 3 d)",Tom Gordon,P,282.0
243,Age: 41,Bats/Throws: B/R,"5' 9"" / 175","4/3/1978 (41 y, 1 m, 18 d)",Bobby Hill,2B/3B,283.0
244,Age: 49,Bats/Throws: B/R,"5' 11"" / 200","5/27/1969 (49 y, 11 m, 24 d)",Todd Hundley,C,284.0
245,Age: 39,Bats/Throws: R/R,"6' 3"" / 195","12/17/1979 (39 y, 5 m, 4 d)",Dave Kelton,OF,285.0
246,Age: 51,Bats/Throws: R/R,"6' 0"" / 200","8/28/1967 (51 y, 8 m, 23 d)",Darren Lewis,OF,286.0
247,Age: 49,Bats/Throws: L/R,"6' 2"" / 240","4/2/1970 (49 y, 1 m, 19 d)",Jon Lieber,P,287.0
248,Age: 45,Bats/Throws: R/R,"6' 2"" / 220","6/3/1973 (45 y, 11 m, 18 d)",Robert Machado,C,289.0
249,Age: 47,Bats/Throws: L/L,"6' 2"" / 195","6/28/1971 (47 y, 10 m, 23 d)",Ron Mahay,P,290.0
250,Age: 48,Bats/Throws: R/R,"6' 4"" / 200","8/9/1970 (48 y, 9 m, 12 d)",Pat Mahomes,P,291.0
251,Age: 55,Bats/Throws: L/L,"6' 3"" / 215","10/31/1963 (55 y, 6 m, 21 d)",Fred McGriff,1B,293.0
252,Age: 47,Bats/Throws: B/R,"6' 2"" / 210","3/27/1972 (47 y, 1 m, 24 d)",Adam Melhuse,C,294.0
253,Age: 48,Bats/Throws: B/R,"5' 10"" / 180","3/17/1971 (48 y, 2 m, 4 d)",Bill Mueller,3B,295.0
254,Age: 41,Bats/Throws: L/L,"6' 2"" / 225","8/13/1977 (41 y, 9 m, 8 d)",Will Ohman,P,296.0
255,Age: 44,Bats/Throws: B/R,"5' 9"" / 174","12/20/1974 (44 y, 5 m, 1 d)",Augie Ojeda,2B/3B/SS,297.0
256,Age: 43,Bats/Throws: R/R,"5' 11"" / 170","8/12/1975 (43 y, 9 m, 9 d)",Luis Ordaz,2B/SS,298.0
257,Age: 49,Bats/Throws: L/L,"6' 2"" / 217","6/21/1969 (49 y, 11 m)",Donovan Osborne,P,299.0
258,Age: 39,Bats/Throws: L/R,"5' 10"" / 180","8/13/1979 (39 y, 9 m, 8 d)",Corey Patterson,OF,300.0
259,Age: 38,Bats/Throws: R/R,"6' 5"" / 230","9/7/1980 (38 y, 8 m, 14 d)",Mark Prior,P,301.0
260,Age: 50,Bats/Throws: R/R,"6' 0"" / 225","11/12/1968 (50 y, 6 m, 9 d)",Sammy Sosa,OF,302.0
261,Age: 46,Bats/Throws: R/R,"5' 9"" / 207","1/19/1973 (46 y, 4 m, 2 d)",Chris Stynes,3B,303.0
262,Age: 41,Bats/Throws: R/R,"6' 5"" / 210","6/16/1977 (41 y, 11 m, 5 d)",Kerry Wood,P,304.0
263,Age: 37,Bats/Throws: B/R,"6' 4"" / 275","6/1/1981 (37 y, 11 m, 20 d)",Carlos Zambrano,P,305.0
264,Age: 41,Bats/Throws: R/R,"6' 0"" / 220","12/18/1977 (41 y, 5 m, 3 d)",Jose Acevedo,P,307.0
265,Age: 45,Bats/Throws: R/R,"6' 2"" / 170","11/6/1973 (45 y, 6 m, 15 d)",Carlos Almanzar,P,308.0
266,Age: 46,Bats/Throws: R/R,"6' 3"" / 206","3/9/1973 (46 y, 2 m, 12 d)",Aaron Boone,3B,311.0
267,Age: 42,Bats/Throws: L/L,"6' 2"" / 230","9/24/1976 (42 y, 7 m, 27 d)",Ben Broussard,1B,312.0
268,Age: 46,Bats/Throws: R/R,"6' 3"" / 215","12/29/1972 (46 y, 4 m, 22 d)",Jim Brower,P,313.0
269,Age: 44,Bats/Throws: L/R,"6' 4"" / 230","7/2/1974 (44 y, 10 m, 19 d)",Sean Casey,1B,314.0
270,Age: 46,Bats/Throws: R/R,"5' 11"" / 190","6/20/1972 (46 y, 11 m, 1 d)",Juan Castro,SS,315.0
271,Age: 40,Bats/Throws: R/R,"6' 1"" / 180","5/12/1979 (40 y, 9 d)",Gookie Dawkins,SS,316.0
272,Age: 48,Bats/Throws: R/R,"5' 11"" / 200","1/13/1971 (48 y, 4 m, 8 d)",Elmer Dessens,P,317.0
273,Age: 45,Bats/Throws: R/R,"6' 4"" / 230","3/12/1974 (45 y, 2 m, 9 d)",Craig Dingman,P,318.0
274,Age: 39,Bats/Throws: L/R,"6' 6"" / 285","11/9/1979 (39 y, 6 m, 12 d)",Adam Dunn,1B/OF,319.0
275,Age: 43,Bats/Throws: R/R,"6' 3"" / 215","3/8/1976 (43 y, 2 m, 13 d)",Juan Encarnacion,OF,320.0
276,Age: 42,Bats/Throws: R/R,"6' 1"" / 200","10/17/1976 (42 y, 7 m, 4 d)",Seth Etherton,P,322.0
277,Age: 47,Bats/Throws: R/R,"6' 1"" / 235","2/2/1972 (47 y, 3 m, 19 d)",Jared Fernandez,P,324.0
278,Age: 45,Bats/Throws: R/R,"6' 0"" / 200","8/7/1973 (45 y, 9 m, 14 d)",Danny Graves,P,326.0
279,Age: 49,Bats/Throws: L/L,"6' 2"" / 230","11/21/1969 (49 y, 6 m)",Ken Griffey Jr.,OF,327.0
280,Age: 48,Bats/Throws: R/R,"6' 4"" / 240","9/9/1970 (48 y, 8 m, 12 d)",Joey Hamilton,P,328.0
281,Age: 46,Bats/Throws: R/R,"6' 4"" / 220","9/5/1972 (46 y, 8 m, 16 d)",Jimmy Haynes,P,329.0
282,Age: 39,Bats/Throws: R/R,"6' 3"" / 240","5/20/1980 (39 y, 1 d)",Austin Kearns,OF,332.0
283,Age: 33,Bats/Throws: R/R,"6' 2"" / 190","2/6/1986 (33 y, 3 m, 15 d)",Kanekoa Texeira,P,334.0
284,Age: 55,Bats/Throws: R/R,"6' 0"" / 185","4/28/1964 (55 y, 23 d)",Barry Larkin,SS,335.0
285,Age: 42,Bats/Throws: R/R,"6' 0"" / 210","5/24/1976 (42 y, 11 m, 27 d)",Brandon Larson,3B,336.0
286,Age: 45,Bats/Throws: R/R,"5' 11"" / 205","3/19/1974 (45 y, 2 m, 2 d)",Jason LaRue,C,337.0
287,Age: 30,Bats/Throws: R/R,"6' 7"" / 245","1/17/1989 (30 y, 4 m, 4 d)",Blake Beavan,P,338.0
288,Age: 41,Bats/Throws: R/R,"6' 0"" / 210","2/10/1978 (41 y, 3 m, 11 d)",Ruben Mateo,OF,340.0
289,Age: 33,Bats/Throws: L/L,"6' 1"" / 195","7/7/1985 (33 y, 10 m, 14 d)",Leyson Septimo,P,341.0
290,Age: 43,Bats/Throws: R/R,"6' 1"" / 250","3/18/1976 (43 y, 2 m, 3 d)",Corky Miller,C,342.0
291,Age: 37,Bats/Throws: R/R,"6' 3"" / 268","1/23/1982 (37 y, 3 m, 28 d)",Wily Mo Pena,OF,344.0
292,Age: 44,Bats/Throws: R/R,"6' 1"" / 178","10/17/1974 (44 y, 7 m, 4 d)",Luis Pineda,P,346.0
293,Age: 41,Bats/Throws: R/R,"6' 4"" / 220","2/28/1978 (41 y, 2 m, 23 d)",Brian Reith,P,347.0
294,Age: 41,Bats/Throws: R/R,"6' 5"" / 235","12/31/1977 (41 y, 4 m, 21 d)",Chris Reitsma,P,348.0
295,Age: 54,Bats/Throws: R/R,"6' 3"" / 200","5/13/1965 (54 y, 8 d)",Jose Rijo,P,349.0
296,Age: 40,Bats/Throws: R/R,"6' 0"" / 215","4/8/1979 (40 y, 1 m, 13 d)",Dane Sardinha,C,353.0
297,Age: 45,Bats/Throws: R/R,"6' 6"" / 235","12/19/1973 (45 y, 5 m, 2 d)",Jose Silva,P,354.0
298,Age: 49,Bats/Throws: R/R,"5' 11"" / 235","2/4/1970 (49 y, 3 m, 17 d)",Kelly Stinnett,C,356.0
299,Age: 48,Bats/Throws: R/R,"6' 3"" / 200","3/13/1971 (48 y, 2 m, 8 d)",Scott Sullivan,P,357.0
300,Age: 42,Bats/Throws: L/R,"6' 1"" / 180","1/12/1977 (42 y, 4 m, 9 d)",Reggie Taylor,OF,358.0
301,Age: 45,Bats/Throws: L/R,"6' 0"" / 180","5/25/1973 (45 y, 11 m, 26 d)",Todd Walker,2B,359.0
302,Age: 47,Bats/Throws: L/L,"6' 2"" / 215","11/20/1971 (47 y, 6 m, 1 d)",Gabe White,P,360.0
303,Age: 43,Bats/Throws: R/R,"6' 0"" / 197","2/17/1976 (43 y, 3 m, 4 d)",Scott Williamson,P,361.0
304,Age: 43,Bats/Throws: L/R,"6' 4"" / 220","1/5/1976 (43 y, 4 m, 16 d)",Kevin Witt,1B/DH,362.0
305,Age: 55,Bats/Throws: L/L,"6' 1"" / 202","1/18/1964 (55 y, 4 m, 3 d)",Brady Anderson,OF,364.0
306,Age: 47,Bats/Throws: R/R,"5' 9"" / 180","3/4/1972 (47 y, 2 m, 17 d)",Bruce Aven,OF,366.0
307,Age: 41,Bats/Throws: R/R,"6' 3"" / 225","9/10/1977 (41 y, 8 m, 11 d)",Danys Baez,P,367.0
308,Age: 41,Bats/Throws: B/R,"6' 0"" / 215","4/15/1978 (41 y, 1 m, 6 d)",Milton Bradley,OF,369.0
309,Age: 43,Bats/Throws: L/R,"6' 3"" / 230","12/19/1975 (43 y, 5 m, 2 d)",Russell Branyan,1B/3B,370.0
310,Age: 42,Bats/Throws: R/R,"6' 2"" / 205","3/31/1977 (42 y, 1 m, 21 d)",Jamie Brown,P,371.0
311,Age: 54,Bats/Throws: R/R,"6' 2"" / 205","9/11/1964 (54 y, 8 m, 10 d)",Ellis Burks,OF,372.0
312,Age: 46,Bats/Throws: R/R,"6' 1"" / 214","12/8/1972 (46 y, 5 m, 13 d)",Jolbert Cabrera,OF,373.0
313,Age: 45,Bats/Throws: R/R,"5' 11"" / 285","5/24/1973 (45 y, 11 m, 27 d)",Bartolo Colon,P,375.0
314,Age: 45,Bats/Throws: R/R,"6' 4"" / 220","11/7/1973 (45 y, 6 m, 14 d)",Sean DePaula,P,377.0
315,Age: 46,Bats/Throws: R/R,"5' 10"" / 200","12/28/1972 (46 y, 4 m, 23 d)",Einar Diaz,C,378.0
316,Age: 43,Bats/Throws: R/R,"6' 3"" / 235","4/5/1976 (43 y, 1 m, 16 d)",Ryan Drese,P,379.0
317,Age: 40,Bats/Throws: R/R,"6' 1"" / 190","8/31/1978 (40 y, 8 m, 21 d)",Tim Drew,P,380.0
318,Age: 44,Bats/Throws: L/L,"6' 1"" / 215","4/11/1975 (44 y, 1 m, 10 d)",Todd Dunwoody,OF,381.0
319,Age: 40,Bats/Throws: R/R,"6' 1"" / 190","9/6/1978 (40 y, 8 m, 15 d)",Alex Escobar,OF,383.0
320,Age: 56,Bats/Throws: L/L,"6' 6"" / 226","11/26/1962 (56 y, 5 m, 25 d)",Chuck Finley,P,384.0
321,Age: 50,Bats/Throws: R/R,"6' 1"" / 195","3/25/1969 (50 y, 1 m, 26 d)",Travis Fryman,3B,385.0
322,Age: 48,Bats/Throws: R/R,"6' 1"" / 195","5/23/1970 (48 y, 11 m, 28 d)",Ricky Gutierrez,SS,387.0
323,Age: 46,Bats/Throws: L/R,"6' 4"" / 250","6/6/1972 (46 y, 11 m, 15 d)",Brooks Kieschnick,P/OF,389.0
324,Age: 47,Bats/Throws: L/R,"5' 10"" / 190","11/30/1971 (47 y, 5 m, 21 d)",Matt Lawton,OF,390.0
325,Age: 42,Bats/Throws: B/R,"5' 11"" / 200","4/26/1977 (42 y, 25 d)",Chris Magruder,OF,392.0
326,Age: 40,Bats/Throws: B/R,"6' 2"" / 235","12/23/1978 (40 y, 4 m, 28 d)",Victor Martinez,C/DH,393.0
327,Age: 44,Bats/Throws: R/L,"6' 2"" / 205","2/23/1975 (44 y, 2 m, 28 d)",Dave Maurer,P,394.0
328,Age: 44,Bats/Throws: R/R,"5' 9"" / 185","9/24/1974 (44 y, 7 m, 27 d)",John McDonald,SS,395.0
329,Age: 48,Bats/Throws: R/R,"6' 1"" / 180","3/5/1971 (48 y, 2 m, 16 d)",Jose Mercedes,P,396.0
330,Age: 52,Bats/Throws: L/R,"6' 3"" / 200","5/5/1967 (52 y, 16 d)",Charles Nagy,P,397.0
331,Age: 43,Bats/Throws: R/R,"6' 5"" / 250","7/28/1975 (43 y, 9 m, 23 d)",Chad Paronto,P,399.0
332,Age: 51,Bats/Throws: R/R,"6' 1"" / 220","5/4/1968 (51 y, 17 d)",Eddie Perez,C,400.0
333,Age: 49,Bats/Throws: L/L,"5' 9"" / 190","4/13/1970 (49 y, 1 m, 8 d)",Ricardo Rincon,P,401.0
334,Age: 42,Bats/Throws: R/R,"6' 2"" / 189","10/23/1976 (42 y, 6 m, 28 d)",David Riske,P,402.0
335,Age: 48,Bats/Throws: R/R,"6' 1"" / 220","3/4/1971 (48 y, 2 m, 17 d)",Nerio Rodriguez,P,403.0
336,Age: 38,Bats/Throws: L/L,"6' 6"" / 300","7/21/1980 (38 y, 10 m)",CC Sabathia,P,404.0
337,Age: 48,Bats/Throws: L/R,"5' 10"" / 195","6/11/1970 (48 y, 11 m, 10 d)",Bill Selby,2B/3B,405.0
338,Age: 48,Bats/Throws: R/R,"6' 3"" / 215","9/16/1970 (48 y, 8 m, 5 d)",Paul Shuey,P,406.0
339,Age: 43,Bats/Throws: R/R,"6' 6"" / 235","5/18/1976 (43 y, 3 d)",Roy Smith,P,407.0
340,Age: 48,Bats/Throws: L/R,"6' 4"" / 250","8/27/1970 (48 y, 8 m, 24 d)",Jim Thome,1B/DH,409.0
341,Age: 39,Bats/Throws: L/L,"6' 5"" / 205","9/18/1979 (39 y, 8 m, 3 d)",Billy Traber,P,410.0
342,Age: 52,Bats/Throws: B/R,"5' 9"" / 180","4/24/1967 (52 y, 27 d)",Omar Vizquel,SS,411.0
343,Age: 41,Bats/Throws: R/R,"6' 3"" / 210","9/29/1977 (41 y, 7 m, 22 d)",Jake Westbrook,P,412.0
344,Age: 50,Bats/Throws: R/R,"6' 1"" / 240","2/6/1969 (50 y, 3 m, 15 d)",Bob Wickman,P,413.0
345,Age: 49,Bats/Throws: R/R,"6' 4"" / 207","1/23/1970 (49 y, 3 m, 28 d)",Mark Wohlers,P,414.0
346,Age: 43,Bats/Throws: R/R,"6' 2"" / 245","12/29/1975 (43 y, 4 m, 22 d)",Jaret Wright,P,415.0
347,Age: 47,Bats/Throws: R/R,"6' 0"" / 225","12/28/1971 (47 y, 4 m, 23 d)",Benny Agbayani,OF,416.0
348,Age: 47,Bats/Throws: R/R,"6' 0"" / 210","4/17/1972 (47 y, 1 m, 4 d)",Gary Bennett,C,420.0
349,Age: 41,Bats/Throws: R/R,"6' 0"" / 180","2/11/1978 (41 y, 3 m, 10 d)",Brent Butler,2B/3B,423.0
350,Age: 41,Bats/Throws: R/R,"6' 3"" / 220","12/23/1977 (41 y, 4 m, 28 d)",Shawn Chacon,P,424.0
351,Age: 43,Bats/Throws: R/R,"6' 8"" / 240","2/23/1976 (43 y, 2 m, 28 d)",Scott Elarton,P,426.0
352,Age: 44,Bats/Throws: R/R,"6' 1"" / 225","8/23/1974 (44 y, 8 m, 28 d)",Bobby Estalella,C,428.0
353,Age: 43,Bats/Throws: L/L,"6' 4"" / 230","8/9/1975 (43 y, 9 m, 12 d)",Brian Fuentes,P,429.0
354,Age: 46,Bats/Throws: R/L,"5' 10"" / 195","9/9/1972 (46 y, 8 m, 12 d)",Mike Hampton,P,430.0
355,Age: 45,Bats/Throws: L/L,"6' 2"" / 220","8/20/1973 (45 y, 9 m, 1 d)",Todd Helton,1B,432.0
356,Age: 46,Bats/Throws: L/L,"6' 2"" / 225","4/20/1973 (46 y, 1 m, 1 d)",Todd Hollandsworth,OF,433.0
357,Age: 40,Bats/Throws: L/R,"6' 2"" / 235","7/17/1978 (40 y, 10 m, 4 d)",Jason Jennings,P,434.0
358,Age: 45,Bats/Throws: R/R,"6' 3"" / 228","7/7/1973 (45 y, 10 m, 14 d)",Jose Jimenez,P,435.0
359,Age: 51,Bats/Throws: L/R,"6' 3"" / 230","4/24/1968 (51 y, 27 d)",Todd Jones,P,436.0
360,Age: 46,Bats/Throws: R/R,"6' 0"" / 190","7/11/1972 (46 y, 10 m, 10 d)",Mark Little,OF,438.0
361,Age: 51,Bats/Throws: L/L,"6' 2"" / 205","2/1/1968 (51 y, 3 m, 20 d)",Kent Mercker,P,439.0
362,Age: 50,Bats/Throws: L/L,"6' 3"" / 225","9/13/1968 (50 y, 8 m, 8 d)",Denny Neagle,P,441.0
363,Age: 41,Bats/Throws: R/R,"5' 9"" / 177","6/13/1977 (41 y, 11 m, 8 d)",Jose Ortiz,2B,442.0
364,Age: 41,Bats/Throws: L/L,"5' 11"" / 180","8/14/1977 (41 y, 9 m, 7 d)",Juan Pierre,OF,443.0
365,Age: 42,Bats/Throws: R/L,"6' 3"" / 250","4/19/1977 (42 y, 1 m, 2 d)",Dennys Reyes,P,444.0
366,Age: 42,Bats/Throws: R/R,"6' 2"" / 205","10/2/1976 (42 y, 7 m, 19 d)",Victor Santos,P,446.0
367,Age: 32,Bats/Throws: R/R,"6' 1"" / 190","1/31/1987 (32 y, 3 m, 21 d)",Melky Mesa,OF,447.0
368,Age: 52,Bats/Throws: R/R,"6' 0"" / 195","8/16/1966 (52 y, 9 m, 5 d)",Terry Shumpert,2B,449.0
369,Age: 45,Bats/Throws: R/R,"6' 3"" / 205","11/6/1973 (45 y, 6 m, 15 d)",Justin Speier,P,451.0
370,Age: 44,Bats/Throws: R/R,"6' 2"" / 210","10/27/1974 (44 y, 6 m, 24 d)",Denny Stark,P,452.0
371,Age: 45,Bats/Throws: R/R,"6' 3"" / 220","10/1/1973 (45 y, 7 m, 20 d)",John Thomson,P,453.0
372,Age: 40,Bats/Throws: R/R,"6' 0"" / 245","3/22/1979 (40 y, 1 m, 29 d)",Juan Uribe,3B/SS,454.0
373,Age: 52,Bats/Throws: L/R,"6' 3"" / 235","12/1/1966 (52 y, 5 m, 20 d)",Larry Walker,OF,455.0
374,Age: 50,Bats/Throws: R/R,"6' 4"" / 245","12/23/1968 (50 y, 4 m, 28 d)",Rick White,P,456.0
375,Age: 53,Bats/Throws: R/R,"6' 1"" / 200","9/9/1965 (53 y, 8 m, 12 d)",Todd Zeile,3B,457.0
376,Age: 49,Bats/Throws: R/R,"6' 1"" / 255","5/5/1970 (49 y, 16 d)",Juan Acevedo,P,458.0
377,Age: 42,Bats/Throws: R/R,"6' 4"" / 200","8/17/1976 (42 y, 9 m, 4 d)",Matt Anderson,P,459.0
378,Age: 42,Bats/Throws: R/R,"6' 4"" / 225","11/28/1976 (42 y, 5 m, 23 d)",Adam Bernero,P,460.0
379,Age: 39,Bats/Throws: R/R,"6' 5"" / 245","9/24/1979 (39 y, 7 m, 27 d)",Nate Cornejo,P,462.0
380,Age: 46,Bats/Throws: L/L,"6' 0"" / 215","1/28/1973 (46 y, 3 m, 23 d)",Jacob Cruz,OF,463.0
381,Age: 49,Bats/Throws: R/R,"5' 11"" / 195","11/11/1969 (49 y, 6 m, 10 d)",Damion Easley,2B,464.0
382,Age: 43,Bats/Throws: R/R,"6' 2"" / 190","10/6/1975 (43 y, 7 m, 15 d)",Jeff Farnsworth,P,465.0
383,Age: 45,Bats/Throws: L/R,"6' 1"" / 200","3/15/1974 (45 y, 2 m, 6 d)",Robert Fick,1B/OF,466.0
384,Age: 43,Bats/Throws: R/R,"6' 3"" / 200","7/29/1975 (43 y, 9 m, 22 d)",Seth Greisinger,P,467.0
385,Age: 49,Bats/Throws: R/R,"6' 0"" / 180","11/8/1969 (49 y, 6 m, 13 d)",Shane Halter,3B/SS,468.0
386,Age: 48,Bats/Throws: L/R,"5' 11"" / 195","8/18/1970 (48 y, 9 m, 3 d)",Bobby Higginson,OF,469.0
387,Age: 42,Bats/Throws: R/R,"5' 11"" / 190","5/19/1977 (42 y, 2 d)",Brandon Inge,3B,470.0
388,Age: 45,Bats/Throws: R/R,"5' 11"" / 185","8/16/1973 (45 y, 9 m, 5 d)",Damian Jackson,2B/SS,471.0
389,Age: 47,Bats/Throws: L/L,"6' 2"" / 200","11/15/1971 (47 y, 6 m, 6 d)",Ryan Jackson,1B/OF,472.0
390,Age: 41,Bats/Throws: R/R,"6' 2"" / 225","3/1/1978 (41 y, 2 m, 20 d)",Kris Keller,P,473.0
391,Age: 46,Bats/Throws: R/R,"6' 2"" / 210","9/30/1972 (46 y, 7 m, 21 d)",Jose Lima,P,475.0
392,Age: 47,Bats/Throws: B/R,"5' 8"" / 190","1/25/1972 (47 y, 3 m, 26 d)",Jose Macias,3B/OF,476.0
393,Age: 46,Bats/Throws: R/R,"6' 0"" / 220","8/3/1972 (46 y, 9 m, 18 d)",Wendell Magee,OF,477.0
394,Age: 45,Bats/Throws: B/R,"6' 0"" / 185","9/18/1973 (45 y, 8 m, 3 d)",Mitch Meluskey,C,478.0
395,Age: 44,Bats/Throws: L/L,"6' 3"" / 190","8/2/1974 (44 y, 9 m, 19 d)",Matt Miller,P,479.0
396,Age: 47,Bats/Throws: R/R,"6' 3"" / 222","12/31/1971 (47 y, 4 m, 21 d)",Brian Moehler,P,480.0
397,Age: 41,Bats/Throws: L/R,"6' 3"" / 220","10/3/1977 (41 y, 7 m, 18 d)",Eric Munson,3B,481.0
398,Age: 50,Bats/Throws: R/R,"6' 1"" / 210","12/27/1968 (50 y, 4 m, 24 d)",Dean Palmer,3B,482.0
399,Age: 45,Bats/Throws: R/R,"6' 2"" / 190","8/20/1973 (45 y, 9 m, 1 d)",Jose Paniagua,P,483.0
400,Age: 50,Bats/Throws: R/R,"6' 0"" / 190","3/28/1969 (50 y, 1 m, 23 d)",Craig Paquette,3B,484.0
401,Age: 48,Bats/Throws: R/R,"6' 0"" / 190","2/17/1971 (48 y, 3 m, 4 d)",Danny Patterson,P,485.0
402,Age: 45,Bats/Throws: L/R,"6' 1"" / 195","9/7/1973 (45 y, 8 m, 14 d)",Jarrod Patterson,3B,486.0
403,Age: 47,Bats/Throws: R/R,"6' 0"" / 200","11/10/1971 (47 y, 6 m, 11 d)",Terry Pearson,P,487.0
404,Age: 41,Bats/Throws: R/L,"6' 3"" / 200","6/11/1977 (41 y, 11 m, 10 d)",Adam Pettyjohn,P,489.0
405,Age: 45,Bats/Throws: R/R,"6' 2"" / 200","10/10/1973 (45 y, 7 m, 11 d)",Brian Powell,P,490.0
